B86127883
A80994460
A28856136
A54081518
A58768151
B35754969
B63627368
B64930910
B60420692
A35099316
A20135307
B62345616
B57512642
B91779603
B85428464
A80239007
A07025919
A58161910
B38484796
B57088510
A35014406
B57828642
B28278885
A84895309
B62133384
B07866890
B38013744
A07029895
B28158087
B43022151
B86974078
A38473724
B35652379
B28444594
B86281599
B07580897
B18785501
A07146277
B62116942
B85270460
A80482334
A07034515
A35397884
B07757552
B07038284
B83028456
B38062683
A07035934
B96199807
A58434440
A35344878
B54439948
B98331887
B85990463
A35510650
A46002424
B43361724
B62515432
B08404386
A29009487
A63440200
B53600912
A28298933
B58120775
B66516931
B07025315
B65894008
B57116923
B63735203
A35610666
B86060977
A91609792
A28307916
B84679935
B78058526
A07853823
B35265818
B86858602
A17564170
B07985609
B10420347
B45479953
B82309048
B86714573
B57358202
A35011790
B17412834
A07010937
A08586133
B17056433
B29797321
A08568883
B63020168
A62327002
A38385712
B35660232
B66522954
A28237618
A57809774
A58591983
A08271942
A08859019
B82694241
A07263015
A17115239
B38088746
B35091990
B93150662
A17027186
B12901898
A57113136
B92104710
B85847150
A50000918
B08976441
B53716775
B41779349
A82520321
B92912989
A07016512
B86022274
B08370827
B64771546
B29645355
B85131530
A07085277
B65618407
A29019767
A07054471
B06473581
A22003644
B66209693
B82256207
B57311433
A07023237
B57211732
B35371772
B57667099
B46700589
A07241656
A07126444
B81543837
B07160310
B08245805
A07172281
B07987563
B08816233
B10355881
A17020736
B82573338
B93219335
B87228151
B87045050
A53331609
B62667027
A08405490
A17161985
B84811397
B57362634
B86714557
A07256100
A07010390
B65440109
B87238317
B61832069
B62997028
B61667002
B98621352
B58155391
B17016569
B86721172
A07024631
A08129058
A79288148
A07024896
B35320456
B93056836
A17073693
A07207186
B58456161
B57467482
A03044732
A43070259
B30745335
A08196446
B29836590
B35382571
B43642222
B79513362
B54869474
B15961832
A08225179
A07738933
B58981523
B83789271
A17137746
A35013895
A39000104
B07027139
A62636907
B66195892
B54774088
A28121820
B63124051
A80380132
B03262920
B31670672
B57872723
B58474214
B38057006
B62834270
B43518307
A07071517
A01012764
B07599996
B07762479
B82603317
B82290909
B86744133
A20001269
B66035999
A35013523
A29017746
A07735251
B76003771
B30719041
B38077590
B43880517
B07271133
B58050840
B61747549
B38627410
B11539574
B35287507
A07008519
B35665892
B48419378
B57756389
A28532901
B93061133
A78335551
B79210159
B33888728
B63031710
B76568013
A03934353
B65207813
B29869518
B07967086
A08121089
B03478740
B84148766
A07023542
A38266557
B01405638
A38033502
B63205322
B91244483
B57265423
B14510507
B50875863
B07258627
B87286597
B87074043
B35379049
B38326997
A07020969
B81030157
B64302516
A07008410
B34210781
A07235195
A29098159
A28054716
A35035393
B92727262
B17943150
B82978172
A07189079
B35395417
A17237652
B38506440
B35033687
B60378098
B30553614
B80259690
A08307563
B93289890
B74203381
B08416521
B35476381
A28059483
B38902821
A28320935
A07011927
A81784241
B35557230
A08193732
B31070998
B60487725
B38814505
B43110113
B07846488
B96018577
A07232861
B11365541
B65134165
B61206165
B07694649
B29805801
A18077875
A43055177
B65962755
B96266671
B66265943
B86901584
B07633621
B35393925
B08798837
A41027723
B35483627
B38964490
B84157957
B53828042
A01007137
A60850500
A38501482
A79351714
A08242414
A58316860
B57493991
B47679790
B38403309
B25323494
B85202877
B65335184
B66522947
B07143431
B37216504
B36307270
A28839447
B07009897
B35074087
B76231299
B40128449
B66079062
B84076801
B57134710
A17014630
B07031461
A08132029
A58868332
A41390022
B53212031
B84650761
B64585474
B65351033
B61948360
B07757743
B66070699
B38347993
B53018313
B53248944
B35319490
A07161508
B76081611
B61676490
B82468661
B65844276
B18658815
A28249142
A07029168
B65326902
A08224545
B11370889
B21490776
B96615810
A17016114
B57656688
B87002895
B35095884
A81660755
B86381423
B54024401
B07968332
A58238148
B84978170
A07118367
A80204464
B08367898
B98263692
B83627760
B02406627
B29135639
B55160899
B84799782
A79044525
B57152910
A07122724
B03344520
B81175192
B57022055
B53340931
B50768225
A33000225
B38489688
B61405544
B61952644
A07015803
B62877378
B20629408
A07739402
B04745345
B65553679
B83406769
B25294174
B85619278
B15203979
B80043870
A11458536
B97829527
B62173604
B07845571
A07123383
B92697945
B80300676
A58265703
A28827095
B01335355
B50859735
B96634480
B01408160
B17550328
B76103894
B35007533
B01185123
A06459341
B17818311
A03076247
B43885151
B08337263
B65777294
B82597345
A07772833
A08973257
A07016033
B57057440
B31614423
A07017676
B47532288
B65783789
B93094084
B64472293
B62849641
A08675027
B07041825
B76535418
B83782441
B80631377
B35346733
B57152894
A46106837
B12023065
B57189086
B07740483
B76140516
A29131356
B08599185
B63562623
A07011034
B66240557
B54232152
A86756988
B59820951
A35475821
A29182458
B57696924
B35376011
B61861472
A28846533
A29016003
B53334611
A17053539
B35526631
A12016937
B33779984
A82191727
B24454019
B43542059
B11724564
B50983907
B98747843
B84680024
B49170764
B82207937
B57833626
B12840203
B03687126
B80584907
A08864910
A08627663
B78574977
B08256547
B50476886
B12620167
B35458231
B03313269
B39778287
A17090481
B07688591
B15802002
B90059700
B84481126
A08557209
A15348386
A28674265
B65693947
A81045437
B43454123
A35094200
B65758971
B95492930
A39045075
B83629451
B14446850
B07215874
B07800949
B61809281
B63266274
B53995049
B87272324
B12644787
B92988757
B96683347
B27290717
A01104157
A17043670
B70257308
B65275984
B65209587
A07090806
B19549427
A35523364
A29002516
B87208120
B08207755
A58185356
B65642597
B63579486
B55214936
B85510055
B07572241
A84630706
B63853618
B79128567
A97043772
A03028321
B20673059
B47650098
A35249960
B07095284
A30163547
B04317749
B92076595
B41554072
B26385989
B81404295
B86134491
B91936856
B46043238
B35536143
B45210143
A07204381
B60438371
A58477084
B85211266
B50040450
B41573908
B90025511
B63023535
A35118686
B15934151
B33033002
A18011890
B54680053
B07027865
A03189024
B80044571
B31769748
B62089891
B85635977
B35106590
B60598851
B17067646
B54211834
B60506177
A07084932
B87180899
B65776817
B04722716
B07167281
B35910827
A07159510
B81740938
B92725142
A60563186
B19573393
B03045507
A36046837
B38872933
A58242223
B93074300
B38550356
A35045186
B64977952
B12842209
B07004880
B78791084
A37036787
B12842217
B76102094
A08290975
B39541792
B29769866
A08115669
B07986292
B07303167
B76177328
B38434486
A38022125
B62385067
B64430523
B63169445
B07321243
B64226822
A21006192
B11071263
B81771628
B57401648
B92148295
B41553306
B85987048
B60320983
B73354334
B28434280
B57207052
B64209299
B07291693
B41031980
B57478406
A60971678
B41755497
B76153410
B55174916
B08590077
A82677790
B97335665
B57076523
B62707005
B66158460
B07025554
B99134157
B28769057
A11054194
B97165401
A29004124
B64827736
B57197519
A35021500
B66446287
B12882122
B96829023
A35656271
A08129538
B03207172
B65220485
B07865710
B43452028
B65819427
B70201553
B85542744
B28183911
B59785915
A80942022
B30439368
B07186893
A63698401
B57812729
B82580713
B03341757
B76144179
B57917411
A17016197
B38314548
B66275884
B58836065
B40022899
B01534650
B36511772
B38584785
A58010984
B20933560
B83669705
A07426026
A07454499
B57062085
A38005724
B85406247
B80622897
B59568071
B82874249
A07025364
B64552805
A50012822
A07027584
B61914883
B14788491
B07914641
B57480030
B50938489
A31144504
B45567872
B90153354
A08804841
B14862023
B61449831
B65622425
B07823636
B65821191
B80507270
A32017907
B19212422
B93103794
B07437288
A78114139
A38089926
B91891473
A08264657
B26353177
B12436390
A07089105
B86387594
A79046926
A07023815
B62973714
B65075178
B65233421
B70221437
A38060828
A03272663
B12402004
B57857518
A82748120
B53890216
B83772954
B57058851
B16169203
B97072565
B10272789
B60903002
B07661044
B15754682
B90080698
B66337858
B55039499
B86060142
B28982635
B62365820
B63600712
B62431044
B63889240
B66418740
A08249393
B65228447
A28860385
B36905651
A58863069
A07178916
B18736496
B07965312
B38597852
B64649262
